БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса,Плановая рентабельность
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",17.09.2019,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.001,168.43,161 489.70,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",06.04.2019,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.008,"1,283.00",153 762.60,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",28.03.2024,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.004,774.04,185 532.32,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",05.12.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.052,"8,460.03",155 985.49,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",09.08.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,1.334,"240,967.68",173 188.34,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",07.10.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.010,"1,813.40",173 863.87,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.12.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.007,"1,346.13",184 376.12,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",19.09.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.049,"8,817.27",172 525.75,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",26.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.001,159.17,152 607.90,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",20.06.2017,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,1.000,"2,367.38",2 269.78,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",11.05.2021,20,Подшипники,20-980400,Втулки к подшипникам,10464971,Втулка закрепительная H322 GBI,Штука,1.000,"2,749.75",2 636.39,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",26.04.2016,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука,1.000,"1,752.04",1 679.81,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",21.04.2015,20,Подшипники,20-980400,Втулки к подшипникам,10464971,Втулка закрепительная H322 GBI,Штука,1.000,"2,956.33",2 834.45,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",12.10.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,11.210,"10,953.33",936.82,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",24.11.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр,3.750,"4,274.84",1 092.96,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",21.11.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр,7.250,"8,596.73",1 136.87,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",18.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1459560,Доска-1-хвойная-40х120,КубичМетр,11.800,"12,298.42",999.27,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",30.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1484124,Брус-1-хвойный-120х150,КубичМетр,0.200,"4,725.98",22 655.70,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",25.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10309367,Доска-1-лиственница-30х150мм,КубичМетр,7.500,"10,062.39",1 286.34,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",12.10.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,4.500,"5,866.36",1 249.89,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",16.01.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр,10.000,"10,642.56",1 020.38,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.12.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр,20.257,"21,282.92",1 007.33,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",03.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023496,Брус 150Х150мм,КубичМетр,29.700,"1,047,672.16",33 820.86,4.3
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",19.06.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1104513,Доска-2-лиственница-40х150 (обрезная),КубичМетр,8.064,"8,834.74",1 048.40,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",23.08.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр,7.200,"6,838.19",908.85,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",02.10.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10148495,Доска-2-сосна-100х100,КубичМетр,13.200,"14,701.65",1 065.80,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",28.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10517280,Доска-2-сосна-50х50,КубичМетр,7.360,"7,430.70",966.13,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",26.02.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1104513,Доска-2-лиственница-40х150 (обрезная),КубичМетр,1.080,"1,361.23",1 206.12,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",13.02.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр,7.200,"9,276.57",1 232.93,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",06.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр,3.210,"3,719.58",1 108.85,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",08.01.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10148495,Доска-2-сосна-100х100,КубичМетр,4.400,"4,853.05",1 055.47,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",03.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10220419,Доска-1-сосна-25х150,КубичМетр,1.845,"2,255.73",1 169.97,4.5
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",13.05.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10517280,Доска-2-сосна-50х50,КубичМетр,8.640,"8,959.91",992.37,4.5
1232,"AO ""ВЧНГ""","Катангский Район, Участок Инаригда, Иркутская Область, Россия",21.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10220419,Доска-1-сосна-25х150,КубичМетр,7.980,"8,524.81",1 022.27,4.5
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",01.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,6.000,"7,446.56",1 185.38,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",05.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,3.640,"94,666.92",24 839.92,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",21.12.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр,32.903,"42,934.68",1 246.31,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",24.11.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,86.618,"86,580.83",954.70,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",29.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,19.900,"23,713.91",1 138.16,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",04.11.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1305230,Брус двухкантный-1-лиственница-150х250,КубичМетр,2.300,"59,483.68",24 701.50,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",26.05.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1985646,Брусок-1-сосна-30х50мм 3м,Штука,5.000,"4,925.14",940.81,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",16.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр,0.500,547.45,1 045.75,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",13.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,6.000,"7,664.73",1 220.11,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",16.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,0.500,570.07,1 088.95,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",01.08.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр,0.200,238.35,1 138.26,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",30.08.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,0.500,"14,195.82",27 117.14,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",14.03.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр,3.000,"2,941.23",936.40,4.7
1244,"ООО ""РН-Бурение""","район Коротчаево, Новый Уренгой, Ямало-Ненецкий автономный округ, Россия",25.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,4.000,"4,435.22",1 059.03,4.7
