БЕ (балансовая единица) держателя запаса,Наименование дочернего Общества',Филиал Общества (при наличии),"Адрес склада (Город, район)",Классы МТР,Наименование класса',Подклассы МТР ,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,"Стоимость запасов, руб (показывается сумма для продажи)"
1329,"АО ""Куйбышевский НПЗ""",,"АО ""Самара-Волго г. Самара, Московское ш., д. 55",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.150,
1330,"АО ""Сызранский НПЗ""",,обл Самарская   г Сызрань ул Астраханская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.096,
1330,"АО ""Сызранский НПЗ""",,обл Самарская   г Сызрань ул Астраханская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,2021870,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.103,
1330,"АО ""Сызранский НПЗ""",,обл Самарская   г Сызрань ул Астраханская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.093,
1330,"АО ""Сызранский НПЗ""",,обл Самарская   г Сызрань ул Астраханская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.003,
1330,"АО ""Сызранский НПЗ""",,обл Самарская   г Сызрань ул Астраханская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.012,
1A63,"АО ""ННК""",,обл Самарская     тер Промзона ЗАО ННК,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.131,
1B54,"ПАО АНК ""Башнефть""",,Республика Башкортостан  Уфа  Зеленая роща,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027462,Труба 8х1 12Х18Н10Т ГОСТ 9941,Погон.метр, 0.200,
1B54,"ПАО АНК ""Башнефть""",,Республика Башкортостан  Уфа  Зеленая роща,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027462,Труба 8х1 12Х18Н10Т ГОСТ 9941,Погон.метр, 78.790,
1B54,"ПАО АНК ""Башнефть""",,Республика Башкортостан  Уфа  Ульяновых,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9012437,Труба б/ш х/д к/ст 8х1 08Х18Н10Т,Погон.метр, 24.000,
1B54,"ПАО АНК ""Башнефть""",,Республика Башкортостан  Уфа  Ульяновых,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.041,
1B54,"ПАО АНК ""Башнефть""",,Республика Башкортостан  Уфа  Ульяновых,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.002,
1B54,"ПАО АНК ""Башнефть""",,Республика Башкортостан  Уфа  Ульяновых,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027630,Труба 8х2.5 20 ГОСТ 8734,Погон.метр, 100.000,
1B66,"ПАО ""Уфаоргсинтез""",,Республика Башкортостан  Уфа Город  Уфаоргсинтез Территория,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,2285865,Труба б/ш х/д к/ст 8х1 08Х12Н10Т,Тонна, 0.005,
