БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",12.04.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна,0.090,"16,509.96",183 443.98
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",25.06.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.035,"5,602.07",160 059.24
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",13.03.2025,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1783602,"Труба б/ш х/д 8Х2,5 В ст20",Тонна,0.048,"8,595.52",179 073.42
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",27.02.2023,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.030,"5,091.58",169 719.46
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",27.05.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1702636,Труба б/ш х/д 8Х2 В ст20,Тонна,0.070,"11,393.48",162 763.97
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",30.05.2023,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.063,"10,714.48",170 071.14
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",15.01.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.150,"25,045.40",166 969.32
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",13.11.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.096,"15,223.05",158 573.47
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",25.04.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,2021870,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.103,"17,264.10",167 612.62
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",15.01.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.093,"15,716.42",168 993.79
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",21.01.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.003,539.27,179 757.38
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",04.03.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.012,"1,951.08",162 589.62
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",26.09.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.131,"21,972.88",167 731.94
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",29.12.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027462,Труба 8х1 12Х18Н10Т ГОСТ 9941,Погон.метр,0.200,"12,401.59",62 007.93
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",07.11.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027462,Труба 8х1 12Х18Н10Т ГОСТ 9941,Погон.метр,78.790,"5,262,414.04",66 790.38
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Ульяновых, Республика Башкортостан, Россия",02.06.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9012437,Труба б/ш х/д к/ст 8х1 08Х18Н10Т,Погон.метр,24.000,"1,104,634.08",46 026.42
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Ульяновых, Республика Башкортостан, Россия",14.08.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.041,"6,991.70",170 529.23
